attrType	desc	bDisplay
int	String	byte
属性类型	属性说明	是否显示
1	ssssss	1
2		1
3		1
4		1
5		1
6		1
7		1
8		1
9		1
10		1
11		1
12		1
13		1
14		1
15		1
16		1
17		
18		1
19		
20		1
21		1
22		1
23		1
24		1
25		1
26		1
27		1
28		1
29		
30		
31		
32		1
33		
34		1
35		
36		
37		
38		1
39		
40		
41		
42		1
43		1
44		
45		
46		1
47		1
48		1
49		1
50		1
51		1
52		
53		
54		
55		
56		1
57		1
58		1
59		1
60		1
61		1
62		
63		
64		
65		
66		
67		
68		1
69		1
70		1
71		1
72		1
73		1
74		1
75		1
76		1
77		1
78		1
79		1
80		1
81		1
82		1
83		1
84		1
85		
86		1
