buffId	buffName	buffLevel	buffType	workValue
int	String	int	int	int
buffId	buff名称	buff等级	buff类别	数值
1	流血LV1	1	1	-10
2	流血LV2	2	1	-20
3	流血LV3	3	1	-30
4	燃烧LV1	1	2	-40
5	燃烧LV2	2	2	-50
6	燃烧LV3	3	2	-60
7	中毒LV1	1	3	-70
8	中毒LV2	2	3	-80
9	中毒LV3	3	3	-90
10	直伤LV1	1	4	-95
11	直伤LV2	2	4	-96
12	直伤LV3	3	4	-97
13	冰冻LV1	1	5	-100
14	诅咒LV1	1	6	-110
15	晕眩LV1	1	7	-120
16	麻痹LV1	1	8	-130
17	定身LV1	1	9	-140
18	加速LV1	1	10	-150
19	减速LV1	1	10	-160
20	回春LV1	1	12	170
21	回春LV2	2	12	180
22	回春LV3	3	12	190
23	回魔LV1	1	13	200
24	回魔LV2	2	13	210
25	回魔LV3	3	13	220
26	加攻LV1	1	15	230
27	加攻LV2	2	15	240
28	加攻LV3	3	15	250
29	加防LV1	1	17	260
30	加防LV2	2	17	278
31	加防LV3	3	17	280
32	变形LV1	1	18	
33	失明LV1	1	19	-300
34	多倍经验LV1	1	20	-310
35	减攻	1	16	-100
36	减防	1	18	-100
37	加抗	1	24	100
38	减抗	1	28	-100
39	属性提升	1	23	100
40	属性减少	1	27	-100
41	无敌	1	25	
42	霸体	1	26	
43	免疫	1	22	
44	反伤	1	29	50
45	耗魔	1	14	-100
