mapUid	scoTid	name	unity	icon	type	level	enterLevel	totalTime	costManual	costGold	enterLimit	canRevive	freeReviveLimit	invincibleTime	canSweep	itemReward	expReward	goldReward	sliverReward	copperReward	star	minPlayer	maxPlayer	openBoxCost
int	int	String	String	String	int	int	int	int	int	int	int	int	int	int	int	String	int	int	int	int	String	int	int	String
地图唯一的ID	场景ID	地图名	U3D名称	地图图标	副本类型	地图难度等级	进入地图最低等级	副本时间	消耗体力	付费扫荡金币	进入次数限制	死亡复活	免费复活次数限制	原地复活无敌时间	副本可否扫荡	获得道具	获得经验	获得金币	获得银币	获得铜币	评分	最少玩家	最多玩家	开宝箱花费
1	201401	翠竹轩	x1d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*20	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*5	1	1	1000*200*300
2	301401	枫林寺	q1d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*20	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*5	1	1	1000*200*301
3	401401	寒冬下枫松寺院	d1d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*20	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*5	1	1	1000*200*302
4	402401	风雪山庄	d2d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*20	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*5	1	1	1000*200*303
5	3	新手村	xisnhoucun	Button_fubenxuanzetu1B	3	1	1	0	0	0	0	0	0	0	0	32001*10#32002*21	0	0	0	0	1001*1#2001*2#3001*3#4001*4#5001*6	0	0	1000*200*304
6	4	d2d1(野外)	d2d1	Button_fubenxuanzetu1B	1	1	1	0	0	0	0	0	3	20	0	32001*10#32002*26	0	0	0	0	1001*1#2001*2#3001*3#4001*4#5001*11	1	0	1000*200*309
7	202401	泊船坞(普通)	x2d1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*22	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*7	1	1	1000*200*305
8	204501	清水小榭(普通)	x4n1	Button_fubenxuanzetu1B	1	1	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
9	202401	泊船坞(豪杰)	x2d1	Button_fubenxuanzetu1B	1	2	1	30	7	1	0	0	3	20	1	32001*10#32002*23	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*8	1	1	1000*200*306
10	204501	清水小榭(豪杰)	x4n1	Button_fubenxuanzetu1B	1	2	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
11	202401	泊船坞(宗师)	x2d1	Button_fubenxuanzetu1B	1	3	1	30	7	1	0	0	3	20	1	32001*10#32002*24	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*9	1	1	1000*200*307
12	204501	清水小榭(宗师)	x4n1	Button_fubenxuanzetu1B	1	3	1	30	7	1	0	0	3	20	1	32001*10#32002*26	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*11	1	1	1000*200*309
13	202401	泊船坞(无尽)	x2d1	Button_fubenxuanzetu1B	1	4	1	30	7	1	0	0	3	20	1	32001*10#32002*25	1	1	1	1	1001*1#2001*2#3001*3#4001*4#5001*10	1	1	1000*200*308
