id	name	modelName	level	type	hp	skillList	dir	idleRate	idleLastTime	patrolRate	patrolRange	patrolInterval	searchRange	chaseRange	atkType	rebornTime	monsterModel	face	chartlet	effect	effcetPosition	effectOffset	moveAniSpeed	rotateSpeed	corpseTime	moveSound	attackSound	onhitSound	dieSound	aiId	rewardGold	rewardExp	rewardItem	rewardItemList	air	agility	innerForce	control	tenacity	externalForceAttack	innerForceAttack	scorchingSunAttack	ploughAttack	netherAttack	lunarAttack	meleeHitRate	remoteHitRate	meleeDodgeRate	remoteDodgeRate	maxHp	curHp	maxMp	curMp	defence	externalForceDamageReduce	innerForceDamageReduce	scorechingSunDamageReduce	ploughDamageReduce	netherDamageReduce	lunarDamageReduce	knowingRate	parryRate	attackSpeed	attackScope	speed	allHurtLower	expBase	targetRoleCoefficient	targetMonsterCoefficient	targetPetCoefficient	targetCallMonsterCoefficient	coefficientFromRole	coefficientFromMonster	coefficientFromPet	cofficientFromCallMonster	hpRecoverSpeed	mpRecoverSpeed	spritSpeed	spritPierceRate	dizzinessRate	dizzinessResistance	hpSteal	mpSteal	frozenRate	frozenResistance	hpStealResistance	mpStealResistance	hpBurnResistance	mpBurnResistance	externalForceDamageObsorb	innerForceDamageObsorb	scorchingSunDamageObsorb	ploughDamageObsorb	netherDamageObsorb	lunarDamageObsorb	externalForceRebind	innerForceRebind	scorchingSunRebind	ploughRebind	netherRebind	lunarRebind	externalForceDamageCoefficient	innerForceDamageCoefficient	scorchingSunDamageCoefficient	ploughDamageCoefficent	netherDamageCoefficient	lunarDamageCoefficient	knowingHurtHurtRate	parryHurtRate	allHurtAdd	heavyAttack	watchBosDef	noMoveRate	noMoveResistance	toughnessRate	toughnessEffect	disrupting	disruptingEffect	extraSkillPoint
int	String	String	int	int	int	String	float	int	int	int	int	int	int	int	int	int	String	String	String	String	String	String	int	int	int	String	String	String	String	int	int	int	int	String	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
怪物Id	怪物名	怪物模型	怪物等级	怪物类型	怪物的血	怪物的技能id组(怪物技能列表，列表内是技能id，由AI调用技能)	怪物朝向	待机机率	待机持续时间	巡逻机率	巡逻半径	每次巡逻时间	警戒范围(半径)	追击范围(半径)	攻击类型	重生时间(毫秒)	模型	头像图片	贴图	特效	特效绑定位置（骨骼等）	特效绑定位置偏移（x,y,z）	移动动画播放速度	旋转角速度（度/秒）转向用	尸体存在的时间（秒）	移动声	普通攻击声	受击声or受击叫声	死亡叫声	AI的id	杀怪奖励货币	杀怪奖励经验	奖励单个道具（必掉）	列表，按几率奖励多个道具之一	气力	灵敏	内力	掌控	坚韧	外功攻击	内功攻击	烈阳攻击	天罡攻击	幽冥攻击	太阴攻击	近战命中	远程命中	近战闪避	远程闪避	最大生命 	当前生命	最大真气	当前真气	防御	外功伤害减免	内功伤害减免	烈阳伤害减免	天罡伤害减免	幽冥伤害减免	太阴伤害减免	会心率	抵挡率	攻击频率	攻击范围	移动速度	所有伤害降低	经验获得基数	对人伤害系数	对怪伤害系数	对宠伤害系数	对召唤物伤害系数	被人伤害系数	被怪伤害系数	被宠伤害系数	被召唤物伤害系数	生命回复速度	真气回复速度	投射物移动速度	投射穿透率	眩晕概率	眩晕抵抗	生命偷取比例	真气偷取比例	冰冻概率	冰冻抗性	生命偷取抗性	真气偷取抗性	生命流失抗性	真气流失抗性	外功伤害吸收	内功伤害吸收	烈阳伤害吸收	天罡伤害吸收	幽冥伤害吸收	太阴伤害吸收	外功反弹	内功反弹	烈阳反弹	天罡反弹	幽冥反弹	太阴反弹	外功伤害系数	内功伤害系数	烈阳伤害系数	天罡伤害系数	幽冥伤害系数	太阴伤害系数	会心伤害	抵挡能力	所有伤害提升	重创攻击	护体防御	定身概率	定身抗性	韧性	韧性能力	破防	破防能力	额外技能点
24000	山贼	m_shanzei_01	1	1	1000	56002#56001	220	100	500	900	6	250	5	20	1	2000	sdfa								10000						10	15		1001*10*1000																1000	1000														300																																																						
24001	强盗	m_shanzei_02	1	1	1000	56002#56001	220	100	500	900	6	250	5	20	1	2000	asdaf								10000						10	15		1001*10*1001																1000	1000														300																																																						
24002	驯兽师	m_b_xunshou_01	1	1	1000	56002#56001	220	100	500	900	6	250	5	20	1	2000	sdfa								10000						10	15		1001*10*1002																1000	1000														300																																																						
24003	蛮夷	m_manyi_02	1	1	1000	56002#56001	220	100	500	900	6	250	5	20	1	2000	sdfa								10000						10	15		1001*10*1000																1000	1000														300																																																						
24004	土匪	m_tufei_02	1	1	1000	56002#56001	220	100	500	900	6	250	5	20	1	2000	asdaf								10000						10	15		1001*10*1001																1000	1000														300																																																						
24005	邪教徒	m_xiejiao_02	1	1	1000	56002#56001	220	100	500	900	6	250	5	20	1	2000	sdfa								10000						10	15		1001*10*1002																1000	1000														300																																																						
28000	花和尚	m_b_heshang_04_1	1	4	2000	55004#55001	220	100	500	900	6	250	5	20	1	2000	asdaf								10000						10	15		1001*10*1003																1000	1000														300																																																						
28001	土匪头子	m_b_tufei	1	4	2000	55005#55002	220	100	500	900	6	250	5	20	1	2000	sdfa								10000						10	15		1001*10*1004																1000	1000														300																																																						
28002	扇留情	m_b_xiejiao	1	4	2000	55006#55003	220	100	500	900	6	250	5	20	1	2000	sdfa								10000						10	15		1001*10*1004																1000	1000														300																																																						
