level	levelUpExp	isLeveUp
int	int	byte
等级	升到下一级的经验值	是否可以升到下一级
1	120	1
2	480	1
3	1080	1
4	1920	1
5	3000	1
6	4320	1
7	5880	1
8	7680	1
9	9720	1
10	12000	1
11	14520	1
12	17280	1
13	20280	1
14	23520	1
15	27000	1
16	30720	1
17	34680	1
18	38880	1
19	43320	1
20	48000	1
21	52920	1
22	58080	1
23	63480	1
24	69120	1
25	75000	1
26	81120	1
27	87480	1
28	94080	1
29	100920	1
30	108000	1
31	115320	1
32	122880	1
33	130680	1
34	138720	1
35	147000	1
36	155520	1
37	164280	1
38	173280	1
39	182520	1
40	192000	1
41	201720	1
42	211680	1
43	221880	1
44	232320	1
45	243000	1
46	253920	1
47	265080	1
48	276480	1
49	288120	1
50	300000	1
51	312120	1
52	324480	1
53	337080	1
54	349920	1
55	363000	1
56	376320	1
57	389880	1
58	403680	1
59	417720	1
60	432000	1
61	446520	1
62	461280	1
63	476280	1
64	491520	1
65	507000	1
66	522720	1
67	538680	1
68	554880	1
69	571320	1
70	588000	1
71	604920	1
72	622080	1
73	639480	1
74	657120	1
75	675000	1
76	693120	1
77	711480	1
78	730080	1
79	748920	1
80	768000	1
81	787320	1
82	806880	1
83	826680	1
84	846720	1
85	867000	1
86	887520	1
87	908280	1
88	929280	1
89	950520	1
90	972000	1
91	993720	1
92	1015680	1
93	1037880	1
94	1060320	1
95	1083000	1
96	1105920	1
97	1129080	1
98	1152480	1
99	1176120	1
100	1200000	1
