id	name	type	learnLevel	preLearnSkill	maxLevel	learnCost	careerId	fireTargetType	cdTime	cost	limitSceneId	passiveAttr	unitId	animationTime
int	String	int	int	String	int	int	int	int	int	int	String	String	String	int
技能ID	技能名称	类别	学习等级	学习前置技能及等级	技能最大等级	学习消耗技能点	职业	技能目标类型	技能cd时间(毫秒)	施放技能消耗	限制场景ID	被动作用属性	单元技能id	技能动画播放时间(毫秒)
50001	蓄力重击	1	1		10	1	1	3	5000	301			9	4000
50002	枪临	1	1		10	1	1	3	5000	301			7	4000
50003	上挑	1	1		10	1	1	3	5000	301			6	4000
50004	大招2	1	1				1	3	10000	2003			31	3000
50005	大招3	1	1				1	3	10000	3003			10	6000
50006	义士五连击	1	1				1	3	6000				1#2#3#4#5	5000
50007	剑侠五连击	1	1				2	3						
50008	剑侠技能1冰刺	1	1		10	1	2	3		301				
50009	剑侠技能2闪击	1	1		10	1	2	3		301				
50010	剑侠技能4剑气	1	1		10	1	2	3		301				
50011	剑侠大招2冰阵	1	1				2	3		2003				
50012	剑侠大招3落剑	1	1				2	3		3003				
51001	闪避	2	1		10	1	1	1	5000	301			8	1500
51002	大招1	2	1				1	2	10000	1003			30	2000
51003	剑侠技能3闪避	2	1		10	1	2	1		301				
51004	剑侠大招1加攻	2	1				2	2		1003				
55001	和尚技能	1	1				0	3	15000				16	4000
55002	土匪技能	1	1				0	3	15000				14	4500
55003	扇子技能	1	1				0	3	15000				33	3000
55004	和尚普攻	1	1				0	3	6000				15	3000
55005	土匪普攻	1	1				0	3	6000				13	3000
55006	扇子普攻	1	1				0	3	6000				32	3000
56001	男普剑技能	1	1				0	3	10000				12	3000
56002	男普剑普攻	1	1				0	3	6000				11	2000
50013	玲珑五连击	1	1				3	3						
50014	玲珑技能1	1	1		10	1	3	3		301				
50015	玲珑技能2	1	1		10	1	3	3		301				
51005	玲珑技能3闪避	2	1		10	1	3	1		301				
50016	玲珑技能4	1	1		10	1	3	3		301				
51006	玲珑大招1加血	1	1				3	2		1003				
50017	玲珑大招2	1	1				3	3		2003				
50018	玲珑大招3	1	1				3	3		3003				
50019	义士五连击1	1	1				1	3	1000				1	1000
50020	义士五连击2	1	1				1	3	1000				2	1000
50021	义士五连击3	1	1				1	3	1000				3	1000
50022	义士五连击4	1	1				1	3	1000				4	1000
50023	义士五连击5	1	1				1	3	2000				5	2000
