id	damageType	hitRate	hurtMin	hurtMax	attkAoe	hatredVal	attackDistance	isFarSkill	hurtFun	buffList	singTime	singIsBreak	releaseTime	releaseIsBreak	hurtCount	angerVal	groupUpAttack	throwItemName	isFollow	followRadius	throwSpeed	attakerMove	hurtMove
int	int	int	int	int	int	int	int	int	String	String	int	int	int	int	int	int	int	String	int	int	int	int	int
技能单元ID	类型	命中率	伤害最小值	伤害最大值	攻击范围形状	仇恨值	攻击距离	是否为远程	伤害范围大小	buff列表及几率	吟唱时间	是否可打断吟唱	持续施法时间	是否可打断施放	伤害次数	增加的怒气	伤害成长值	投掷物	投掷物是否追踪	追踪半径	投掷物飞行速度	施法位移	受击移位
1	1	100	100	200	3	10	3	0	90#3						1	10						2	2
2	1	100	100	200	3	10	3	0	90#3						1	10						2	2
3	1	100	100	200	3	10	4	0	90#3						1	10						2	2
4	1	100	100	200	3	10	4	0	90#3						1	10						2	2
5	1	100	100	200	3	10	4	0	90#3						1	10						3	2
6	1	100	100	200	3	10	6	0	60#6						3	10						0	2
7	1	100	100	200	3	10	4	0	60#4						6	10						0	2
8	0	100						0														7	
9	1	100	100	200	3	10	7	0	60#7						1	10						0	2
10	1	100	100	200	4	10	8	0	8						6	10						0	2
11	1	100	100	200	2	10	2	0	3#2						1							0	2
12	1	100	100	200	2	10	2	0	3#2						4							0	2
13	1	100	100	200	2	10	3	0	3#3						1							0	2
14	1	100	100	200	2	10	8	0	3#8						1							0	2
15	1	100	100	200	2	10	3	0	3#3						1							0	2
16	1	100	100	200	2	10	5	0	3#5						4							5	2
17	1	100	100	200	3	10		0															
18	1	100	100	200	3	10		0															
19	1	100	100	200	3	10		0															
20	1	100	100	200	4	10		0															
21	1	100	100	200	3	10		0															
22	0	100						0															
23	1	100	100	200	4	10		0															
24	1	100	100	200	3	10		0															
25	1	100	100	200	3	10		0															
26	1	100	100	200	3	10		0															
27	0	100						0															
28	1	100	100	200	3	10		0															
29	1	100	100	200	3	10		0															
30	0	100						0															
31	1	100	100	200	3	10		0															
32	1	100	100	200	2	10	4	0	3#4						3							0	1
33	1	100	100	200	2	10	8	0	3#8						3							0	1
34	1	100	100	200	3	10		0															
35	1	100	100	200	3	10		0															
36	1	100	100	200	3	10		0															
37	1	100	100	200	3	10		0															
38	1	100	100	200	2	10		0															
39	1	100	100	200	3	10		0															
40	1	100	100	200	3	10		0															
41	0	100						0															
42	1	100	100	200	3	10		0															
43	0	100	-100	-200	3	10		0															
44	1	100	100	200	3	10		0															
45	1	100	100	200	3	10		0															
46	1	100	100	200	3	10		0															
47	0	100				10		0															
